Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",-335.612500,-65.087500,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-326.881250,-46.831250,180.000000,bottom
"C3","0.1uF","C_0805_2012Metric",-339.725000,-49.212500,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-326.881250,-65.087500,180.000000,bottom
"C5","10uF","C_0805_2012Metric",-339.725000,-62.706250,90.000000,bottom
"C6","22pF","C_0805_2012Metric",-323.850000,-49.212500,90.000000,bottom
"C7","22pF","C_0805_2012Metric",-323.850000,-62.706250,270.000000,bottom
"D1","D_Small","D_SOD-123",-52.387500,-37.306250,0.000000,bottom
"D2","D_Small","D_SOD-123",-52.387500,-64.293750,0.000000,bottom
"D3","D_Small","D_SOD-123",-57.150000,-83.343750,0.000000,bottom
"D4","D_Small","D_SOD-123",-59.531250,-102.393750,0.000000,bottom
"D5","D_Small","D_SOD-123",-54.768750,-140.493750,0.000000,bottom
"D6","D_Small","D_SOD-123",-64.293750,-121.443750,0.000000,bottom
"D7","D_Small","D_SOD-123",-71.437500,-64.293750,0.000000,bottom
"D8","D_Small","D_SOD-123",-84.200000,-37.306250,0.000000,bottom
"D9","D_Small","D_SOD-123",-80.962500,-83.343750,0.000000,bottom
"D10","D_Small","D_SOD-123",-85.725000,-102.393750,0.000000,bottom
"D11","D_Small","D_SOD-123",-78.581250,-140.493750,0.000000,bottom
"D12","D_Small","D_SOD-123",-95.250000,-121.443750,0.000000,bottom
"D13","D_Small","D_SOD-123",-90.550000,-64.293750,0.000000,bottom
"D14","D_Small","D_SOD-123",-103.187500,-37.306250,0.000000,bottom
"D15","D_Small","D_SOD-123",-100.012500,-83.343750,0.000000,bottom
"D16","D_Small","D_SOD-123",-104.837500,-102.393750,0.000000,bottom
"D17","D_Small","D_SOD-123",-114.300000,-121.443750,0.000000,bottom
"D18","D_Small","D_SOD-123",-102.393750,-140.493750,0.000000,bottom
"D19","D_Small","D_SOD-123",-109.600000,-64.293750,0.000000,bottom
"D20","D_Small","D_SOD-123",-122.300000,-37.306250,0.000000,bottom
"D21","D_Small","D_SOD-123",-119.125000,-83.343750,0.000000,bottom
