Designator,MidX,MidY,Layer,Rotation
D1,52.3875,-37.30625,B,0
D2,52.3875,-64.29375,B,0
D3,57.15,-83.34375,B,0
D4,59.53125,-102.39375,B,0
D5,54.76875,-140.49375,B,0
D6,64.29375,-121.44375,B,0
D7,84.2,-37.30625,B,0
D8,71.4375,-64.29375,B,0
D9,80.9625,-83.34375,B,0
D10,85.725,-102.39375,B,0
D11,78.58125,-140.49375,B,0
D12,95.25,-121.44375,B,0
D13,103.1875,-37.30625,B,0
D14,90.55,-64.29375,B,0
D15,100.0125,-83.34375,B,0
D16,104.8375,-102.39375,B,0
D17,114.3,-121.44375,B,0
D18,102.39375,-140.49375,B,0
D19,122.3,-37.30625,B,0
D20,109.6,-64.29375,B,0
D21,119.125,-83.34375,B,0
D22,123.825,-102.39375,B,0
D23,133.35,-121.44375,B,0
D24,141.2875,-37.30625,B,0
D25,128.65,-64.29375,B,0
D26,138.175,-83.34375,B,0
D27,142.875,-102.39375,B,0
D28,152.4625,-121.44375,B,0
D29,147.7,-64.29375,B,0
D30,157.1625,-83.34375,B,0
D31,161.925,-102.39375,B,0
D32,173.89375,-37.30625,B,0
D33,173.83125,-140.49375,B,0
D34,171.5125,-121.44375,B,0
D35,166.6875,-64.29375,B,0
D36,176.2125,-83.34375,B,0
D37,180.975,-102.39375,B,0
D38,192.94375,-37.30625,B,0
D39,190.5625,-121.44375,B,0
D40,185.7375,-64.29375,B,0
D41,195.2625,-83.34375,B,0
D42,200.025,-102.39375,B,0
D43,211.99375,-37.30625,B,0
D44,209.6125,-121.44375,B,0
D45,204.7875,-64.29375,B,0
D46,214.3125,-83.34375,B,0
D47,219.075,-102.39375,B,0
D48,245.26875,-140.49375,B,0
D49,230.98125,-37.30625,B,0
D50,228.6,-121.44375,B,0
D51,223.9,-64.29375,B,0
D52,233.3625,-83.34375,B,0
D53,238.125,-102.39375,B,0
D54,269.08125,-140.49375,B,0
D55,247.65,-121.44375,B,0
D56,242.8875,-64.29375,B,0
D57,252.4125,-83.34375,B,0
D58,261.9375,-37.30625,B,0
D59,257.175,-102.39375,B,0
D60,266.7,-121.44375,B,0
D61,262,-64.29375,B,0
D62,271.4625,-83.34375,B,0
D63,292.95625,-140.49375,B,0
D64,280.9875,-37.30625,B,0
D65,276.225,-102.39375,B,0
D66,290.5125,-83.34375,B,0
D67,280.9875,-64.29375,B,0
D68,300.0375,-37.30625,B,0
D69,302.41875,-121.44375,B,0
D70,316.70625,-140.49375,B,0
D71,307.18125,-102.39375,B,0
D72,314.325,-83.34375,B,0
D73,309.5625,-64.29375,B,0
D74,319.0875,-37.30625,B,0
D75,346.075,-37.30625,B,0
D76,346.075,-64.29375,B,0
D77,346.075,-83.34375,B,0
D78,346.075,-102.39375,B,0
D79,346.075,-121.44375,B,0
D80,346.075,-140.49375,B,0
D81,365.125,-37.30625,B,0
D82,365.125,-64.29375,B,0
D83,365.125,-83.34375,B,0
D84,365.125,-102.39375,B,0
D85,365.125,-121.44375,B,0
D86,365.125,-140.49375,B,0
D87,384.175,-37.30625,B,0
D88,384.175,-64.29375,B,0
D89,384.175,-83.34375,B,0
D90,384.175,-102.39375,B,0
D91,384.175,-121.44375,B,0
D92,384.1325,-140.49375,B,0
